"","age","gender","tenth","school","MMSE1","MMSE2","MMSE3","MMSE4","MMSE5","MMSE6","MMSE7","MMSE8","MMSE9","MMSE10","MMSE11","MMSE12","MMSE13","MMSE14","MMSE15","MMSE16","MMSE17","MMSE18","MMSE19","MMSE20","MMSE21","MMSE22","MMSE23","MMSE24","MMSE25","MMSE26","MMSE27"
"3727",17,"Female","High School",122,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Never/Almost Never","Never/Almost Never","Agree","Agree","Not at all important","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"3728",16,"Female","High School",122,"Agree","Strongly Agree","Agree","Disagree","Sometimes","Often","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"3729",15,"Female","High School",122,"Agree","Agree","Agree","Agree","Always/Almost Always","Often","Always/Almost Always","Often","Strongly Agree","Agree","Not at all important","Agree","Agree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree"
"3730",16,"Female","High School",122,"Agree","Strongly Agree","Agree","Disagree","Sometimes","Often","Always/Almost Always","Often","Strongly Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree"
"3731",16,"Female","High School",122,"Disagree","Agree","Agree","Agree","Sometimes","Sometimes","Rarely","Sometimes","Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree"
"3732",15,"Female","High School",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3733",15,"Male","High School",94,"Agree","Agree","Agree","Disagree","Rarely","Sometimes","Sometimes","Sometimes","Agree","Agree","Slightly Important","Strongly Agree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Agree"
"3734",16,"Male","High School",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3735",15,"Female","High School",94,"Agree","Agree","Agree","Disagree","Sometimes","Rarely","Sometimes","Sometimes","Agree","Disagree","Not at all important","Strongly Agree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"3736",15,"Female","High School",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
